UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B26,F1B08,F1B09,F1B11,F1B13,F1B14,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C141,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1MHP,F1M01,F1M02,F1M03,F1M04,F1MHOP,F1M05,F1M06,F1M07,F1M08,F1E01,F1E02,F1E03,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1E12,F1E121,F1E13,F1E131,F1E14,F1E141,F1E16,F1E161,F1E17,F1E171,F1E172,F1FHA,F1H01,F1H02,F1H03,F1H03A,F1H03B,F1H03C,F1H03D,F1N01,F1N02,F1N03,F1N04,F1N05,F1N06,F1N07   
100663,2358340043.0,1916651035.0,1745803363.0,3662454398.0,6020794441.0,731560051.0,56667288.0,561921786.0,618589074.0,1292453575.0,1607466891.0,2899920466.0,3518509540.0,876499063.0,783424663.0,466127883.0,435678701.0,672114642.0,2357345889.0,172783527.0,100972445.0,2855729332.0,1231389831.0,116683942.0,4477559077.0,2667087182.0,3619359009.0,4002620050.0,-383261041.0,2742705157.0,-2098227.0,2357345889.0,238778078,465169073,12555524,94713738,2610062,92103676,57796141.0,66563264,27307442,3593722495,332448930,61949289,0,37066668,-519999976,7495018,-59830614,3533891881,26379881.0,12806674.0,85467128,3619359009,315434909,207587815,360236807,165375359,218996277,88066459,205980491,139035301,40242592,22441189,239373162,80207018,33114448,89854413.0,13159043.0,75923608,4002620050,1546367444,380362099,115756736,170174284,38198294,1751761193,1,64413000.0,1048949000.0,356216000.0,270264000.0,1,11510608.0,553774052.0,490253810.0,446203779.0,23889759.0,16891894.0,218665.0,12266239.0,78775397.0,132068573.0,95706620.0,3247505.0,98954125.0,33114448.0,17378456.0,17378456.0,11929172.0,11929172.0,159067.0,159067.0,7654702.0,7654702.0,61813364.0,58565859.0,3247505.0,1,711616804.0,673320170.0,-38296634.0,62222261.0,-100518895.0,-27433136.0,27433136.0,-467733944.0,4382589530.0,-432241315.0,4527720339.0,3287705354.0,165975422.0,4850323473.0
100706,158126459.0,289320061.0,128658756.0,417978817.0,576105276.0,90140786.0,5774000.0,79499845.0,85273845.0,136400449.0,200320929.0,336721378.0,421995223.0,97192675.0,169028853.0,17530186.0,14731520.0,-54232395.0,147058164.0,42263555.0,0.0,468924357.0,115860776.0,4877938.0,631926626.0,328780795.0,327609604.0,305376980.0,22232624.0,125039276.0,-213736.0,147058164.0,75541635,133971106,5296529,2458988,0,2458988,13349046.0,5341508,0,235958812,58322523,19528130,0,4615976,-16315109,0,66151520,302110332,25179272.0,320000.0,25499272,327609604,71612576,45339570,127573997,61031715,6413738,2236558,14319334,7077175,23137843,8590660,21864715,11559657,12911599,13478477.0,2451674.0,14064701,305376980,142363453,46315605,14982342,18948582,5845001,76921997,1,11842739.0,146630000.0,45743000.0,43554769.0,1,2221961.0,52882284.0,44696348.0,46586017.0,7775497.0,8678630.0,168960.0,3109344.0,39443224.0,59175655.0,44907292.0,1356764.0,46264056.0,12911599.0,7510581.0,7510581.0,312810.0,312810.0,0.0,0.0,852910.0,835852.0,37587755.0,36248049.0,1339706.0,1,100321016.0,87756960.0,-12564056.0,4256050.0,-13658728.0,-3521974.0,360596.0,3233841.0,315035658.0,25556888.0,414862804.0,228948970.0,142174449.0,309625095.0
100724,113191113.0,243082139.0,901027.0,243983166.0,357174279.0,44017518.0,5093714.0,26998366.0,32092080.0,45290000.0,97975535.0,143265535.0,175357615.0,54213399.0,200340602.0,26981742.0,250000.0,-55951561.0,171620783.0,21259653.0,89542243.0,284878644.0,30722402.0,965263.0,427368205.0,189570873.0,173916291.0,162611000.0,11305291.0,160845494.0,-530002.0,171620783.0,35863560,37849487,4010325,2947183,0,2947183,13742749.0,0,10014276,104427580,55021738,14317676,291061,122784,-3276318,0,66476941,170904521,3011770.0,0.0,3011770,173916291,36266697,27747310,4489287,1878007,4029044,2380650,17613184,7803214,20991021,10375892,41065705,11539621,25765563,12390499.0,2302862.0,0,162611000,64027556,10601831,16681793,12228808,3297164,55773848,1,-3187164.0,60041352.0,19489000.0,15044500.0,1,-786279.0,34013081.0,34724399.0,28584747.0,14066676.0,9303072.0,291061.0,647664.0,18349060.0,42657533.0,14444644.0,2447326.0,16891970.0,25765563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16891970.0,14444644.0,2447326.0,1,130589167.0,108202146.0,-22387021.0,75693.0,-13402577.0,-930010.0,-8130127.0,353775.0,183937797.0,353775.0,273542856.0,0.0,45290000.0,163541010.0
100751,867733598.0,2291578878.0,2053896758.0,4345475636.0,5213209234.0,344140710.0,45898865.0,509793352.0,555692217.0,1105798605.0,793461642.0,1899260247.0,2454952464.0,377201632.0,1460621877.0,561259065.0,600413389.0,102901517.0,2725195848.0,189609855.0,195041734.0,2703728588.0,412979262.0,91697132.0,3593056571.0,1090933605.0,1054248871.0,1192566497.0,-138317626.0,2863513474.0,0.0,2725195848.0,485015783,87186540,33028646,8978351,1766951,7211400,220599553.0,16934239,92211504,943954616,194970221,37082202,0,44942506,-286146166,5382704,-3768533,940186083,20953780.0,33892304.0,114062788,1054248871,311837789,166873390,169667611,88575977,62750063,31800035,112645297,51113841,73513669,29244040,119034755,54301234,33834238,248604525.0,74218112.0,60678550,1192566497,496126629,164888107,93201422,91059806,34270601,313019932,1,46340744.0,553948000.0,177238000.0,151789003.0,1,5289405.0,220215581.0,191460865.0,175147900.0,30448171.0,6751890.0,888019.0,16848557.0,272793552.0,327730189.0,280492218.0,13403733.0,293895951.0,33834238.0,30448171.0,30448171.0,5369001.0,5369001.0,888019.0,888019.0,8619889.0,8619889.0,248570871.0,235167138.0,13403733.0,1,1237611651.0,1144632976.0,-92978675.0,80213832.0,-102247571.0,-70273090.0,-671846.0,112847773.0,1369338726.0,-157141890.0,3908502304.0,1525995652.0,1230527399.0,1256490953.0
100812,30277415.0,44152527.0,7781391.0,51933918.0,82211333.0,12001687.0,1474000.0,7803132.0,9277132.0,6218000.0,35698049.0,41916049.0,51193181.0,16188956.0,33818495.0,954335.0,200000.0,-8141947.0,26830883.0,2593856.0,2633789.0,53344126.0,4222665.0,2611763.0,65406199.0,21253672.0,48439493.0,43358613.0,5080880.0,21750003.0,0.0,26830883.0,14973463,5151018,3613307,0,0,0,408000.0,0,0,24145788,19349390,5333254,0,0,-1192329,803390,24293705,48439493,0.0,0.0,0,48439493,19201167,12971113,0,0,0,0,3682605,2149827,3730367,2411034,9244687,3767585,5448299,439295.0,185704.0,1612193,43358613,21485263,6855561,1873339,1212432,207313,11724705,1,2225429.0,24931000.0,7908000.0,7351975.0,1,-613236.0,9475316.0,8280956.0,4473262.0,5333254.0,3166767.0,579726.0,0.0,757278.0,9837025.0,4388726.0,0.0,4388726.0,5448299.0,2094377.0,2094377.0,1107910.0,1107910.0,90594.0,90594.0,0.0,0.0,1095845.0,1095845.0,0.0,1,5701551.0,4982337.0,-719214.0,0.0,0.0,0.0,-719214.0,-19005512.0,48439493.0,5080880.0,26830883.0,-7187612.0,7692000.0,43358613.0
100830,23215564.0,97369361.0,89131747.0,186501108.0,209716672.0,32278687.0,134927.0,30964496.0,31099423.0,134410.0,147026909.0,147161319.0,178260742.0,34793246.0,22684617.0,30727131.0,5378064.0,-29848441.0,28941371.0,15407483.0,10835336.0,137049750.0,34579364.0,1858354.0,199730287.0,102360927.0,121477165.0,105810653.0,15666512.0,13250201.0,24658.0,28941371.0,39293170,1683396,2548967,61369,0,61369,7734228.0,1572126,651210,53544466,43666861,23206551,0,949495,0,0,67822907,121367373,0.0,0.0,109792,121477165,37364196,22447899,738295,424776,3132053,1939182,5656920,3898238,10220522,5317866,11549870,6517184,9729533,6788744.0,1647477.0,20630520,105810653,43498187,12034835,7221542,5529899,2300464,35225726,1,-498153.0,55980170.0,15528225.0,14810694.0,1,-174807.0,22083644.0,19265021.0,17467993.0,9363756.0,6324354.0,196468.0,1676228.0,10676042.0,28236848.0,16560085.0,1947230.0,18507315.0,9729533.0,9363756.0,8378557.0,512945.0,458976.0,196468.0,175797.0,1936749.0,1732976.0,6497397.0,5813779.0,683618.0,1,64217660.0,57070175.0,-7147485.0,895235.0,-5303621.0,-2739100.0,1.0,15556720.0,121367373.0,15666512.0,28941371.0,878690.0,74589652.0,105810653.0
100858,307029186.0,2007300890.0,1802457291.0,3809758181.0,4116787367.0,396747211.0,61811213.0,416276857.0,478088070.0,1134798599.0,964946556.0,2099745155.0,2577833225.0,406407157.0,1390254690.0,220957551.0,25234617.0,-107152662.0,1529294196.0,214007492.0,289763115.0,2357983527.0,534834093.0,146822560.0,3543410787.0,1336293981.0,1201744560.0,1266871197.0,-65126637.0,1595106792.0,-685959.0,1529294196.0,507624046,141755912,16094493,21211331,2763472,18447859,198268014.0,58340496,18495225,961789517,289742794,16330225,0,52178255,-130507169,0,227744105,1189533622,0.0,12029012.0,12210938,1201744560,251264353,142452131,263777680,125563773,115481749,51703433,159868807,88655444,44463981,20094191,110677682,61085815,17085757,230602646.0,62596468.0,73648542,1266871197,552151255,175573195,130632911,105512727,36361685,266639424,1,67456869.0,599044361.0,178953005.0,166036980.0,1,5993536.0,284479568.0,221547746.0,199824068.0,15957869.0,1519065.0,131274.0,61511807.0,97703794.0,176826756.0,150555527.0,9185472.0,159740999.0,17085757.0,15957869.0,15040255.0,4135414.0,3897618.0,394444.0,371763.0,27083021.0,25525686.0,112170251.0,105720205.0,6450046.0,1,993955140.0,911152148.0,-82802992.0,50025692.0,-94733790.0,-38094895.0,1.0,-77337575.0,1189533622.0,-65126637.0,1529294196.0,116804889.0,1196609812.0,1266871197.0
101480,98503672.0,317084466.0,14879074.0,331963540.0,430467212.0,46368811.0,19491683.0,60343052.0,79834735.0,93258540.0,157796324.0,251054864.0,330889599.0,56624669.0,174139958.0,166127.0,962905.0,-85947235.0,89321755.0,7342408.0,18570901.0,312171155.0,39895361.0,71251722.0,449231547.0,167638793.0,186442870.0,171064885.0,15377985.0,68820035.0,5123735.0,89321755.0,56114106,3095476,3555199,4435148,4435148,0,23031247.0,0,6705601,96936777,46786485,33454242,0,0,-794454,6981344,86427617,183364394,3078476.0,0.0,3078476,186442870,54325434,35549821,213619,70735,3440125,1316753,9167885,5216772,31332203,12553260,32497758,10010032,17129902,17711465.0,1435221.0,5246494,171064885,66152594,22877299,11732409,9083086,6582985,54636512,1,7321507.0,77521000.0,23363000.0,23305031.0,1,-2178443.0,36341505.0,33261669.0,18924962.0,18638479.0,453807.0,0.0,0.0,32693104.0,51785390.0,34655488.0,0.0,34655488.0,17129902.0,18638479.0,18638479.0,453807.0,453807.0,72530.0,72530.0,0.0,0.0,15490672.0,15490672.0,0.0,1,15173146.0,14258774.0,-914372.0,0.0,0.0,0.0,-914372.0,114627358.0,199762769.0,29698957.0,143075785.0,-29320633.0,148173607.0,180856320.0
101587,65692153.0,53263048.0,721609.0,53984657.0,119676810.0,24326317.0,1938609.0,68536593.0,70475202.0,51022145.0,2169431.0,53191576.0,123666778.0,27577101.0,25857528.0,0.0,428997.0,-33527277.0,-7240752.0,519026.0,0.0,84926903.0,9438087.0,0.0,94884016.0,41620968.0,93175670.0,84711440.0,8464230.0,-15629902.0,-75080.0,-7240752.0,39885659,11111827,781256,0,0,0,3540036.0,0,2936188,58254966,24027382,7070589,0,0,2460,3820272,34920703,93175669,0.0,0.0,1,93175670,37640123,15883533,398141,138953,4167128,0,6983678,1819450,10136127,3634604,6707144,3665586,4261478,3754777.0,383791.0,10662844,84711440,28074356,12853612,61827,3143121,2152854,38425670,1,551265.0,33752000.0,10483000.0,8796359.0,1,70408.0,14608597.0,17094101.0,15034946.0,7070589.0,11111872.0,781256.0,0.0,301072.0,19264789.0,12940754.0,2062557.0,15003311.0,4261478.0,6517162.0,5889633.0,709689.0,637301.0,83456.0,73035.0,158271.0,90974.0,7534733.0,6249811.0,1284922.0,1,428978.0,428997.0,19.0,0.0,19.0,0.0,0.0,8464229.0,93175670.0,8389150.0,-15629902.0,-33527277.0,53506256.0,84711440.0
101709,29385625.0,77572675.0,21226373.0,98799048.0,128184673.0,29869701.0,1504566.0,21720445.0,23225011.0,47392647.0,61911321.0,109303968.0,132528979.0,38386857.0,29536025.0,7340583.0,2251667.0,-51989737.0,-12861462.0,1357870.0,20374562.0,100432417.0,29672393.0,3109317.0,154946559.0,77373884.0,80705331.0,77622641.0,3082690.0,-15898114.0,-46038.0,-12861462.0,19889286,10049905,5949889,0,0,0,9526383.0,0,2302831,47718294,24959955,4697208,0,0,-670904,133304,29119563,76837857,0.0,3867474.0,3867474,80705331,26482534,16054920,37216,25648,548153,378562,6018942,3324516,12171521,6445252,22305333,3084525,1281384,4720575.0,480901.0,4056983,77622641,29794324,9132383,8886866,4297690,1906071,23605307,1,-1638000.0,35493000.0,13788000.0,9060000.0,1,-813790.0,26058565.0,24598857.0,20809701.0,4697208.0,1744851.0,136828.0,1396668.0,10861916.0,18837471.0,17244761.0,311326.0,17556087.0,1281384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17556087.0,17244761.0,311326.0,1,31054586.0,35286697.0,4232111.0,0.0,0.0,0.0,4232111.0,722633.0,81823501.0,-1744789.0,111322539.0,48515211.0,48904941.0,81823501.0
