UNITID,F2A01,F2A19,F2A02,F2A03,F2A03A,F2A04,F2A05,F2A05A,F2A05B,F2A06,F2A11,F2A12,F2A13,F2A15,F2A17,F2A18,F2B01,F2B02,F2B04,F2B05,F2B07,F2C01,F2C02,F2C03,F2C05,F2C06,F2C07,F2C08,F2C10,F2C13,F2C131,F2C16,F2C161,F2C17,F2C171,F2D01,F2D012,F2D05,F2D052,F2D08,F2D082,F2D083,F2D084,F2D08A,F2D082A,F2D083A,F2D084A,F2D10,F2D102,F2D103,F2D12,F2D122,F2D15,F2D152,F2D16,F2D162,F2D163,F2D164,F2D172,F2D173,F2D18,F2D182,F2D183,F2D184,F2E011,F2E012,F2E041,F2E042,F2E051,F2E052,F2E061,F2E062,F2E071,F2E072,F2E131,F2E132,F2E133,F2E134,F2E135,F2E136,F2E137,F2FHA,F2H01,F2H02,F2H03,F2H03A,F2H03B,F2H03C,F2I01,F2I02,F2I03,F2I04,F2I05,F2I06,F2I07   
100690,9205532.0,2674712.0,15939891.0,948846.0,0.0,14495619.0,495426.0,174819.0,320607.0,14991045.0,1340625.0,1065662.0,3171516.0,0.0,5577803.0,2903091.0,7413051.0,7256314.0,156737.0,14834308.0,14991045.0,1.0,31582.0,0.0,0.0,816078.0,847661.0,847660.0,847660.0,31582.0,31582.0,0.0,0.0,816078.0,816078.0,7219385,7219385,22412,22412,75662,75662,0,0,75662,75662,0,0,44984,60707,-15723,0.0,0.0,50608,34885,7413051,7413051,0,0,0,0,7413051,7413051,0,0,2518813,1828056,681522,485366,1092868,835538,2963111,1081551,0.0,0.0,7256314,4230511,532218,186021,176711,0,2130853,1,174817.0,174819.0,2.0,0.0,0.0,0.0,172460.0,7370978.0,156737.0,14834308.0,14991045.0,0.0,7256314.0
100937,19174295.0,64655000.0,106162162.0,39447010.0,29314696.0,9964175.0,56750977.0,51470511.0,5280466.0,66715152.0,2524130.0,188060337.0,31264374.0,0.0,222344263.0,157689263.0,31292016.0,70999109.0,-39707093.0,105759465.0,66715152.0,1204146.0,1356783.0,0.0,5110081.0,4246530.0,11917540.0,9356611.0,9356611.0,0.0,0.0,3776960.0,3776960.0,4375505.0,4375505.0,11322316,11322316,1680327,1680327,6647954,6647954,0,0,6647954,6647954,0,0,-465904,-465904,0,11762513.0,11762513.0,344810,344810,31292016,31292016,0,0,0,0,31292016,31292016,0,0,12042041,8126554,3013472,529771,9609472,1716523,39525348,4384934,6471099.0,128357.0,70999109,14886139,4140402,5258278,2825579,1554204,42334507,1,53984787.0,50831353.0,-3153434.0,1128684.0,-465904.0,-3776960.0,-36958206.0,31292016.0,-39707093.0,105759465.0,-7159382.0,29314696.0,70999109.0
101189,22659096.0,63901629.0,102873739.0,44476332.0,31205976.0,35885266.0,22512141.0,13709810.0,8802331.0,58397407.0,8096644.0,74854202.0,36600814.0,3934014.0,123485674.0,59584045.0,56125958.0,53258188.0,2867770.0,55529637.0,58397407.0,4618598.0,4241254.0,1658127.0,319605.0,12828321.0,23665905.0,12511299.0,13609594.0,337619.0,310373.0,319605.0,293813.0,12828321.0,11793075.0,35183649,35183649,11163778,0,4700380,1052770,3593559,54051,4700380,1052770,3593559,54051,-25890,36809,-179543,3397529.0,3397529.0,1706512,1552844,56125958,41223601,14731462,170895,12408928,-12408928,56125958,53632529,2322534,170895,21471387,12596646,3180149,1189981,10225577,3342632,9595270,2796458,4882170.0,270486.0,53258188,20196203,4770332,4725891,3579450,1268621,18717691,1,21332492.0,20765130.0,-567362.0,54051.0,73322.0,-694735.0,374341.0,53632529.0,2867770.0,55529637.0,8911550.0,31205976.0,53258188.0
101435,57182330.0,30365032.0,93441263.0,24374132.0,21241629.0,11769793.0,57297338.0,51636517.0,5660821.0,69067131.0,3049311.0,50127036.0,14030814.0,295506.0,67502667.0,37137635.0,22101081.0,25029686.0,-2928605.0,71995736.0,69067131.0,1580560.0,193889.0,1022717.0,3038927.0,6995364.0,12831457.0,11250897.0,11250897.0,193889.0,193889.0,10034291.0,10034291.0,0.0,0.0,11495206,11495206,2741694,2741694,3225577,2687894,183328,354355,2782633,2687894,94739,0,-2623106,1279402,-1130977,6237930.0,6237930.0,655125,239250,22101081,25050031,-531774,-2417176,121808,-121808,22101081,25171839,-653582,-2417176,6487466,4234145,1684118,814998,6510660,2994757,4558657,2032080,4053655.0,194845.0,25029686,10270825,2139329,1664269,2130745,552861,8271657,1,60206711.0,57163022.0,-3043689.0,442944.0,-2757295.0,-239250.0,142153.0,25171839.0,-2928605.0,71995736.0,8324708.0,21241629.0,25029686.0
101453,17750070.0,3075976.0,22146000.0,1551864.0,0.0,5521173.0,15072963.0,9366959.0,5706004.0,20594136.0,1019751.0,2841330.0,3825988.0,0.0,7687069.0,4611093.0,3067142.0,3331617.0,-264475.0,20858616.0,20594136.0,144405.0,5947.0,0.0,473107.0,0.0,623459.0,245.0,245.0,0.0,0.0,0.0,0.0,245.0,245.0,383659,383659,363820,363820,4030768,2646913,336931,1046924,3980768,2596913,336931,1046924,-1856767,-480238,-1377697,69758.0,69758.0,75904,0,3067142,2983912,-964862,1048092,529340,-529340,3067142,3513252,-1494202,1048092,665315,473906,355659,229657,489168,314721,1548411,557792,87116.0,10888.0,3331617,1702995,291035,500166,233634,0,603787,1,15150265.0,14385884.0,-764381.0,1055391.0,-1290432.0,-529340.0,181635.0,3840819.0,-264475.0,20858616.0,4335179.0,0.0,3331617.0
101675,25642209.0,55881649.0,95783028.0,17619082.0,14887978.0,74376283.0,3787663.0,2829745.0,957918.0,78163946.0,6705231.0,80309397.0,21343489.0,2482143.0,110840260.0,54958611.0,42361714.0,42112615.0,249099.0,77914847.0,78163946.0,6744477.0,605598.0,687542.0,1120432.0,2350845.0,11508894.0,3609487.0,3609487.0,605598.0,605598.0,0.0,0.0,2316347.0,2316347.0,6744477,6744477,21033528,21033528,1932968,1467154,465814,0,0,0,0,0,-3650683,-3650683,0,5623999.0,5623999.0,9989883,9989883,42361714,41895900,465814,0,0,0,42361714,41895900,465814,0,6509874,4552146,1940761,1271864,8520352,3679564,21600438,2327448,3533688.0,498024.0,42112615,12329046,2500229,4199871,1998459,460465,20624545,1,29292887.0,25642204.0,-3650683.0,0.0,-3468149.0,-182534.0,3899782.0,46012397.0,249099.0,77914847.0,78163946.0,14887978.0,42112615.0
101693,22005510.0,36104357.0,71415413.0,34715829.0,31309658.0,10427866.0,26271718.0,19604084.0,6667634.0,36699584.0,1297996.0,61500708.0,13843053.0,70407.0,77754634.0,41650277.0,28065565.0,29113105.0,-1047540.0,37749506.0,36699584.0,2325350.0,147244.0,1146158.0,2202325.0,12552585.0,18373662.0,14860680.0,14860680.0,105770.0,105770.0,2202325.0,2202325.0,12552585.0,12552585.0,13954852,13954852,2721297,245575,6376755,2020130,4112978,243647,4925318,2020130,2661541,243647,-1760510,-369369,-1362539,6255735.0,6255735.0,496896,482967,28065565,22610430,5229140,225995,6635617,-6635617,28065565,29246047,-1406477,225995,10696386,5783255,711367,124176,3000959,1360473,5379415,1934568,9283504.0,1004215.0,29113105,10206687,3456306,3434771,2250183,1873199,7891959,1,20155794.0,22082866.0,1927072.0,254256.0,-1691454.0,-690484.0,132942.0,29246047.0,-1047540.0,37749506.0,17405083.0,31309658.0,29113105.0
101912,25724163.0,59412027.0,128063334.0,43426280.0,30382341.0,52659046.0,31978008.0,6120449.0,25857559.0,84637054.0,5780055.0,86527631.0,37590954.0,0.0,134811156.0,75399129.0,54456136.0,63374302.0,-8918166.0,93555220.0,84637054.0,3200362.0,4809916.0,127743.0,11671434.0,40062.0,19849517.0,9443020.0,19721774.0,0.0,0.0,0.0,0.0,19721774.0,9443020.0,17620690,17620690,13082052,6691073,5935252,4127079,1237732,570441,1940366,1584439,-214514,570441,-3922554,315950,-3007029,8970357.0,8970357.0,2410620,2076705,54456136,50161573,4681907,-387344,8088851,-8088851,54456136,58250424,-3406944,-387344,11883851,7726471,4214072,1750031,5600984,1533842,13006198,3883070,5130454.0,625430.0,63374302,16304421,6998132,3997304,4809682,408059,30856704,1,26286780.0,19810091.0,-6476689.0,0.0,-3590574.0,-2779000.0,-5123878.0,58250424.0,-8918166.0,93555220.0,41637741.0,30382341.0,63374302.0
102049,342830198.0,347388555.0,871369127.0,370304342.0,289251898.0,113541627.0,387523158.0,266949735.0,120573423.0,501064785.0,91896415.0,460036944.0,99889303.0,14286639.0,666109301.0,318720746.0,257272144.0,182692926.0,105693051.0,395371734.0,501064785.0,1891107.0,3385571.0,1578383.0,5969000.0,68017000.0,80841061.0,73986000.0,73986000.0,0.0,0.0,5969000.0,5969000.0,68017000.0,68017000.0,118939193,118939193,8009823,6254320,112011070,5615120,9908623,96487327,110413161,5183893,8741941,96487327,-16205295,-6789120,-9428875,25644408.0,25644408.0,8861833,8355767,257272144,158019688,2752429,96500027,-14987494,14987494,257272144,143032194,17739923,96500027,91710251,51823777,12511870,4677347,33215740,10282866,21762191,12344631,19792440.0,1392428.0,182692926,81179358,24254227,12638053,16250931,8204249,40166108,1,368437572.0,426345689.0,57908117.0,96568665.0,-14519459.0,-16564720.0,22864140.0,185332428.0,105693051.0,395371734.0,155131721.0,289251898.0,182692926.0
102058,9298.0,802572.0,2415279.0,691386.0,0.0,1623893.0,100000.0,100000.0,0.0,1723893.0,1574300.0,3281282.0,802572.0,0.0,5658154.0,4855582.0,2084547.0,814502.0,1249986.0,920399.0,1723893.0,0.0,0.0,0.0,68000.0,0.0,68000.0,43200.0,43200.0,0.0,0.0,43000.0,43000.0,200.0,200.0,91494,91494,0,0,0,0,0,0,0,0,0,0,4301,4301,0,0.0,0.0,1976252,1976252,2084547,2084547,0,0,0,0,2084547,2084547,0,0,160401,77508,150000,149893,17000,16999,303802,301587,6000.0,5900.0,814502,685194,0,75000,0,0,54308,1,142412.0,142412.0,0.0,0.0,125.0,0.0,148135.0,905347.0,1249986.0,920399.0,0.0,0.0,814502.0
