UNITID,OMCHRT,OMRCHRT,OMEXCLS,OMACHRT,OMCERT4,OMASSC4,OMBACH4,OMAWDN4,OMAWDP4,OMCERT6,OMASSC6,OMBACH6,OMAWDN6,OMAWDP6,OMCERT8,OMASSC8,OMBACH8,OMAWDN8,OMENRYI,OMENRAI,OMENRUN,OMNOAWD,OMAWDP8,OMENRTP,OMENRYP,OMENRAP,OMENRUP 
100654,10,1166,4,1162,0,0,112.0,112,10.0,0,0,308.0,308,27.0,0,0,342.0,342,27,396,397,820,29.0,36.0,2.0,34.0,34.0
100654,11,888,4,884,0,0,61.0,61,7.0,0,0,205.0,205,23.0,0,0,231.0,231,22,303,328,653,26.0,37.0,2.0,34.0,37.0
100654,12,278,0,278,0,0,51.0,51,18.0,0,0,103.0,103,37.0,0,0,111.0,111,5,93,69,167,40.0,35.0,2.0,33.0,25.0
100654,20,134,1,133,0,0,6.0,6,5.0,0,0,17.0,17,13.0,0,0,20.0,20,3,49,61,113,15.0,39.0,2.0,37.0,46.0
100654,21,95,1,94,0,0,5.0,5,5.0,0,0,15.0,15,16.0,0,0,18.0,18,2,38,36,76,19.0,43.0,2.0,40.0,38.0
100654,22,39,0,39,0,0,1.0,1,3.0,0,0,2.0,2,5.0,0,0,2.0,2,1,11,25,37,5.0,31.0,3.0,28.0,64.0
100654,30,174,0,174,0,0,83.0,83,48.0,0,0,100.0,100,57.0,0,0,104.0,104,1,37,32,70,60.0,22.0,1.0,21.0,18.0
100654,31,112,0,112,0,0,50.0,50,45.0,0,0,62.0,62,55.0,0,0,65.0,65,1,26,20,47,58.0,24.0,1.0,23.0,18.0
100654,32,62,0,62,0,0,33.0,33,53.0,0,0,38.0,38,61.0,0,0,39.0,39,0,11,12,23,63.0,18.0,0.0,18.0,19.0
100654,40,62,0,62,0,0,12.0,12,19.0,0,0,18.0,18,29.0,0,0,18.0,18,0,21,23,44,29.0,34.0,0.0,34.0,37.0
100654,41,38,0,38,0,0,9.0,9,24.0,0,0,11.0,11,29.0,0,0,11.0,11,0,14,13,27,29.0,37.0,0.0,37.0,34.0
100654,42,24,0,24,0,0,3.0,3,13.0,0,0,7.0,7,29.0,0,0,7.0,7,0,7,10,17,29.0,29.0,0.0,29.0,42.0
100654,50,1536,5,1531,0,0,213.0,213,14.0,0,0,443.0,443,29.0,0,0,484.0,484,31,503,513,1047,32.0,35.0,2.0,33.0,34.0
100654,51,1133,5,1128,0,0,125.0,125,11.0,0,0,293.0,293,26.0,0,0,325.0,325,25,381,397,803,29.0,36.0,2.0,34.0,35.0
100654,52,403,0,403,0,0,88.0,88,22.0,0,0,150.0,150,37.0,0,0,159.0,159,6,122,116,244,39.0,32.0,1.0,30.0,29.0
100663,10,1748,7,1741,1,0,655.0,656,38.0,1,0,1055.0,1056,61.0,1,0,1097.0,1098,17,367,259,643,63.0,22.0,1.0,21.0,15.0
100663,11,664,3,661,0,0,164.0,164,25.0,0,0,338.0,338,51.0,0,0,357.0,357,5,163,136,304,54.0,25.0,1.0,25.0,21.0
100663,12,1084,4,1080,1,0,491.0,492,46.0,1,0,717.0,718,66.0,1,0,740.0,741,12,204,123,339,69.0,20.0,1.0,19.0,11.0
100663,20,39,1,38,0,0,5.0,5,13.0,0,0,13.0,13,34.0,0,0,14.0,14,2,9,13,24,37.0,29.0,5.0,24.0,34.0
100663,21,16,1,15,0,0,1.0,1,7.0,0,0,5.0,5,33.0,0,0,6.0,6,1,3,5,9,40.0,27.0,7.0,20.0,33.0
100663,22,23,0,23,0,0,4.0,4,17.0,0,0,8.0,8,35.0,0,0,8.0,8,1,6,8,15,35.0,30.0,4.0,26.0,35.0
100663,30,1197,0,1197,1,0,643.0,644,54.0,1,0,734.0,735,61.0,1,0,749.0,750,4,229,214,447,63.0,19.0,0.0,19.0,18.0
100663,31,564,0,564,1,0,259.0,260,46.0,1,0,305.0,306,54.0,1,0,315.0,316,4,129,115,248,56.0,24.0,1.0,23.0,20.0
100663,32,633,0,633,0,0,384.0,384,61.0,0,0,429.0,429,68.0,0,0,434.0,434,0,100,99,199,69.0,16.0,0.0,16.0,16.0
100663,40,789,4,785,0,0,222.0,222,28.0,0,0,276.0,276,35.0,0,0,288.0,288,8,179,310,497,37.0,24.0,1.0,23.0,39.0
100663,41,225,3,222,0,0,73.0,73,33.0,0,0,97.0,97,44.0,0,0,99.0,99,2,52,69,123,45.0,24.0,1.0,23.0,31.0
100663,42,564,1,563,0,0,149.0,149,26.0,0,0,179.0,179,32.0,0,0,189.0,189,6,127,241,374,34.0,24.0,1.0,23.0,43.0
100663,50,3773,12,3761,2,0,1525.0,1527,41.0,2,0,2078.0,2080,55.0,2,0,2148.0,2150,31,784,796,1611,57.0,22.0,1.0,21.0,21.0
100663,51,1469,7,1462,1,0,497.0,498,34.0,1,0,745.0,746,51.0,1,0,777.0,778,12,347,325,684,53.0,25.0,1.0,24.0,22.0
100663,52,2304,5,2299,1,0,1028.0,1029,45.0,1,0,1333.0,1334,58.0,1,0,1371.0,1372,19,437,471,927,60.0,20.0,1.0,19.0,20.0
100690,10,9,0,9,0,0,1.0,1,11.0,0,0,1.0,1,11.0,0,0,1.0,1,0,3,5,8,11.0,33.0,0.0,33.0,56.0
100690,11,7,0,7,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,3,4,7,0.0,43.0,0.0,43.0,57.0
100690,12,2,0,2,0,0,1.0,1,50.0,0,0,1.0,1,50.0,0,0,1.0,1,0,0,1,1,50.0,0.0,0.0,0.0,50.0
100690,20,6,0,6,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,4,2,6,0.0,67.0,0.0,67.0,33.0
100690,21,4,0,4,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,3,1,4,0.0,75.0,0.0,75.0,25.0
100690,22,2,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,1,1,2,0.0,50.0,0.0,50.0,50.0
100690,30,114,0,114,0,0,26.0,26,23.0,0,0,31.0,31,27.0,0,0,33.0,33,0,28,53,81,29.0,25.0,0.0,25.0,46.0
100690,31,95,0,95,0,0,21.0,21,22.0,0,0,24.0,24,25.0,0,0,24.0,24,0,22,49,71,25.0,23.0,0.0,23.0,52.0
100690,32,19,0,19,0,0,5.0,5,26.0,0,0,7.0,7,37.0,0,0,9.0,9,0,6,4,10,47.0,32.0,0.0,32.0,21.0
100690,40,30,0,30,0,0,6.0,6,20.0,0,0,7.0,7,23.0,0,0,7.0,7,0,10,13,23,23.0,33.0,0.0,33.0,43.0
100690,41,25,0,25,0,0,2.0,2,8.0,0,0,3.0,3,12.0,0,0,3.0,3,0,9,13,22,12.0,36.0,0.0,36.0,52.0
100690,42,5,0,5,0,0,4.0,4,80.0,0,0,4.0,4,80.0,0,0,4.0,4,0,1,0,1,80.0,20.0,0.0,20.0,0.0
100690,50,159,0,159,0,0,33.0,33,21.0,0,0,39.0,39,25.0,0,0,41.0,41,0,45,73,118,26.0,28.0,0.0,28.0,46.0
100690,51,131,0,131,0,0,23.0,23,18.0,0,0,27.0,27,21.0,0,0,27.0,27,0,37,67,104,21.0,28.0,0.0,28.0,51.0
100690,52,28,0,28,0,0,10.0,10,36.0,0,0,12.0,12,43.0,0,0,14.0,14,0,8,6,14,50.0,29.0,0.0,29.0,21.0
100706,10,749,0,749,1,0,228.0,229,31.0,0,0,428.0,428,57.0,0,0,460.0,460,12,180,97,289,61.0,26.0,2.0,24.0,13.0
100706,11,197,0,197,0,0,44.0,44,22.0,0,0,96.0,96,49.0,0,0,102.0,102,3,55,37,95,52.0,29.0,2.0,28.0,19.0
100706,12,552,0,552,1,0,184.0,185,34.0,0,0,332.0,332,60.0,0,0,358.0,358,9,125,60,194,65.0,24.0,2.0,23.0,11.0
100706,20,20,0,20,0,0,1.0,1,5.0,0,0,3.0,3,15.0,0,0,3.0,3,0,10,7,17,15.0,50.0,0.0,50.0,35.0
100706,21,6,0,6,0,0,1.0,1,17.0,0,0,1.0,1,17.0,0,0,1.0,1,0,3,2,5,17.0,50.0,0.0,50.0,33.0
100706,22,14,0,14,0,0,0.0,0,0.0,0,0,2.0,2,14.0,0,0,2.0,2,0,7,5,12,14.0,50.0,0.0,50.0,36.0
100706,30,731,0,731,0,0,387.0,387,53.0,0,0,442.0,442,60.0,0,0,457.0,457,4,168,102,274,63.0,24.0,1.0,23.0,14.0
100706,31,316,0,316,0,0,153.0,153,48.0,0,0,179.0,179,57.0,0,0,185.0,185,2,79,50,131,59.0,26.0,1.0,25.0,16.0
100706,32,415,0,415,0,0,234.0,234,56.0,0,0,263.0,263,63.0,0,0,272.0,272,2,89,52,143,66.0,22.0,0.0,21.0,13.0
100706,40,209,0,209,0,0,59.0,59,28.0,0,0,83.0,83,40.0,0,0,90.0,90,3,70,46,119,43.0,35.0,1.0,33.0,22.0
100706,41,61,0,61,0,0,17.0,17,28.0,0,0,26.0,26,43.0,0,0,28.0,28,0,20,13,33,46.0,33.0,0.0,33.0,21.0
100706,42,148,0,148,0,0,42.0,42,28.0,0,0,57.0,57,39.0,0,0,62.0,62,3,50,33,86,42.0,36.0,2.0,34.0,22.0
100706,50,1709,0,1709,1,0,675.0,676,40.0,0,0,956.0,956,56.0,0,0,1010.0,1010,19,428,252,699,59.0,26.0,1.0,25.0,15.0
100706,51,580,0,580,0,0,215.0,215,37.0,0,0,302.0,302,52.0,0,0,316.0,316,5,157,102,264,54.0,28.0,1.0,27.0,18.0
