UNITID,HRTOTLT,HRTOTLM,HRTOTLW,HRAIANT,HRAIANM,HRAIANW,HRASIAT,HRASIAM,HRASIAW,HRBKAAT,HRBKAAM,HRBKAAW,HRHISPT,HRHISPM,HRHISPW,HRNHPIT,HRNHPIM,HRNHPIW,HRWHITT,HRWHITM,HRWHITW,HR2MORT,HR2MORM,HR2MORW,HRUNKNT,HRUNKNM,HRUNKNW,HRNRALT,HRNRALM,HRNRALW 
100654,258,133,125,0,0,0,38,26,12,171,84,87,0,0,0,2,0,1.0986122886681098,2,1,1,43,20,23,2,2,0,0,0,0
100663,2671,1446,1225,8,6,2,428,265,163,172,55,117,91,58,33,2,1,1.0986122886681098,1809,968,841,24,11,13,4,2,2,133,80,53
100690,32,27,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.6931471805599453,31,27,4,0,0,0,0,0,0,0,0,0
100706,358,194,164,2,1,1,70,53,17,20,8,12,8,5,3,0,0,0.0,244,119,125,1,0,1,0,0,0,13,8,5
100724,211,108,103,0,0,0,32,24,8,135,57,78,3,3,0,0,0,0.6931471805599453,40,24,16,0,0,0,1,0,1,0,0,0
100751,1583,835,748,2,1,1,157,101,56,92,32,60,46,22,24,4,1,0.0,1190,631,559,10,2,8,10,5,5,72,40,32
100760,44,21,23,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0.0,40,19,21,1,1,0,0,0,0,0,0,0
100812,85,42,43,2,0,2,7,3,4,12,6,6,2,0,2,0,0,0.6931471805599453,61,32,29,0,0,0,0,0,0,1,1,0
100830,230,111,119,1,0,1,22,14,8,20,7,13,5,4,1,0,0,0.6931471805599453,159,73,86,0,0,0,4,0,4,19,13,6
100858,1435,833,602,5,2,3,181,121,60,65,23,42,59,29,30,0,0,0.0,1023,593,430,20,11,9,9,6,3,73,48,25
100937,103,48,55,1,1,0,4,2,2,6,3,3,1,0,1,0,0,0.0,89,42,47,1,0,1,1,0,1,0,0,0
101028,42,16,26,0,0,0,1,0,1,8,1,7,0,0,0,0,0,0.0,33,15,18,0,0,0,0,0,0,0,0,0
101116,4,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0,0,0,0
101143,54,31,23,0,0,0,2,2,0,7,4,3,1,1,0,0,0,0.0,44,24,20,0,0,0,0,0,0,0,0,0
