UNITID,TUITION1,FEE1,HRCHG1,TUITION2,FEE2,HRCHG2,TUITION3,FEE3,HRCHG3,TUITION5,FEE5,HRCHG5,TUITION6,FEE6,HRCHG6,TUITION7,FEE7,HRCHG7,ISPROF1,ISPFEE1,OSPROF1,OSPFEE1,ISPROF2,ISPFEE2,OSPROF2,OSPFEE2,ISPROF3,ISPFEE3,OSPROF3,OSPFEE3,ISPROF4,ISPFEE4,OSPROF4,OSPFEE4,ISPROF5,ISPFEE5,OSPROF5,OSPFEE5,ISPROF6,ISPFEE6,OSPROF6,OSPFEE6,ISPROF7,ISPFEE7,OSPROF7,OSPFEE7,ISPROF8,ISPFEE8,OSPROF8,OSPFEE8,ISPROF9,ISPFEE9,OSPROF9,OSPFEE9,CHG1AT0,CHG1AF0,CHG1AY0,CHG1AT1,CHG1AF1,CHG1AY1,CHG1AT2,CHG1AF2,CHG1AY2,CHG1AT3,CHG1AF3,CHG1AY3,CHG1TGTD,CHG1FGTD,CHG2AT0,CHG2AF0,CHG2AY0,CHG2AT1,CHG2AF1,CHG2AY1,CHG2AT2,CHG2AF2,CHG2AY2,CHG2AT3,CHG2AF3,CHG2AY3,CHG2TGTD,CHG2FGTD,CHG3AT0,CHG3AF0,CHG3AY0,CHG3AT1,CHG3AF1,CHG3AY1,CHG3AT2,CHG3AF2,CHG3AY2,CHG3AT3,CHG3AF3,CHG3AY3,CHG3TGTD,CHG3FGTD,CHG4AY0,CHG4AY1,CHG4AY2,CHG4AY3,CHG5AY0,CHG5AY1,CHG5AY2,CHG5AY3,CHG6AY0,CHG6AY1,CHG6AY2,CHG6AY3,CHG7AY0,CHG7AY1,CHG7AY2,CHG7AY3,CHG8AY0,CHG8AY1,CHG8AY2,CHG8AY3,CHG9AY0,CHG9AY1,CHG9AY2,CHG9AY3 
112127,8610.0,1414.0,287.0,8610.0,1414.0,287.0,17220.0,1414.0,574.0,10128.0,1414.0,422.0,10128.0,1414.0,422.0,20160.0,1414.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,,,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,8610.0,1414.0,10024.0,,,17220.0,1414.0,18634.0,17220.0,1414.0,18634.0,17220.0,1414.0,18634.0,17220.0,1414.0,18634.0,,,1600.0,1600.0,1600.0,1600.0,9240.0,9240.0,9520.0,9520.0,3090.0,3090.0,3090.0,3090.0,9240.0,9240.0,9520.0,9520.0,3090.0,3090.0,3090.0,3090.0,3090.0,3440.0,3440.0,3440.0
112127,8832.0,0.0,368.0,8832.0,0.0,368.0,21216.0,0.0,884.0,8424.0,0.0,468.0,8424.0,0.0,468.0,19962.0,0.0,1109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8568.0,0.0,8568.0,8568.0,0.0,8568.0,8568.0,0.0,8568.0,8832.0,0.0,8832.0,,,8568.0,0.0,8568.0,8568.0,0.0,8568.0,8568.0,0.0,8568.0,8832.0,0.0,8832.0,,,20400.0,0.0,20400.0,20400.0,0.0,20400.0,20400.0,0.0,20400.0,21216.0,0.0,21216.0,,,1200.0,1200.0,1200.0,1200.0,12307.0,12307.0,12307.0,13120.0,5555.0,5555.0,5555.0,5757.0,12307.0,12307.0,12307.0,14330.0,5555.0,5555.0,5555.0,6007.0,5555.0,5555.0,5555.0,6007.0
112127,9000.0,950.0,430.0,9000.0,950.0,430.0,9000.0,950.0,430.0,10800.0,1350.0,750.0,10800.0,1350.0,750.0,10800.0,1350.0,750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112127,10120.0,1758.0,421.0,10120.0,1758.0,421.0,23012.0,1758.0,958.0,10632.0,1054.0,708.0,10632.0,1054.0,708.0,24430.0,1054.0,1628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9730.0,1392.0,11122.0,9730.0,1608.0,11338.0,9730.0,1758.0,11488.0,10120.0,1758.0,11878.0,,,9730.0,1392.0,11122.0,9730.0,1608.0,11338.0,9730.0,1758.0,11488.0,10120.0,1758.0,11878.0,,,22126.0,1392.0,23518.0,22126.0,1608.0,23734.0,22126.0,1758.0,23884.0,23012.0,1758.0,24770.0,,,2120.0,2200.0,2300.0,2416.0,10400.0,10652.0,10764.0,11122.0,3994.0,4076.0,4156.0,4462.0,10400.0,10652.0,10764.0,11122.0,3994.0,4076.0,4156.0,4462.0,3994.0,4076.0,4156.0,4462.0
112127,8328.0,2740.0,347.0,8328.0,2740.0,347.0,16656.0,2740.0,694.0,7416.0,2740.0,412.0,7416.0,2740.0,412.0,14832.0,2740.0,824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,,,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,8328.0,2740.0,11068.0,,,16656.0,2740.0,19396.0,16656.0,2740.0,19396.0,16656.0,2740.0,19396.0,16656.0,2740.0,19396.0,,,1600.0,1600.0,1600.0,1600.0,6050.0,6050.0,6171.0,6350.0,3392.0,3392.0,3392.0,3392.0,7320.0,7320.0,7320.0,7320.0,4228.0,4228.0,5130.0,5130.0,4228.0,4228.0,5130.0,5130.0
112127,11100.0,840.0,545.0,11100.0,840.0,545.0,31460.0,840.0,1385.0,11100.0,690.0,635.0,11100.0,690.0,635.0,31460.0,690.0,1610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61980.0,3012.0,63600.0,3263.0,10780.0,0.0,10780.0,10780.0,840.0,11620.0,10780.0,840.0,11620.0,11100.0,840.0,11940.0,,,10780.0,0.0,10780.0,10780.0,840.0,11620.0,10780.0,840.0,11620.0,11100.0,840.0,11940.0,,,30250.0,0.0,30250.0,30250.0,840.0,31090.0,30250.0,840.0,31090.0,31460.0,840.0,32300.0,,,1000.0,1000.0,800.0,800.0,13636.0,13810.0,13934.0,14426.0,4600.0,4620.0,4670.0,4858.0,13636.0,13810.0,13934.0,14426.0,4600.0,4620.0,4670.0,4858.0,5860.0,5692.0,5742.0,6028.0
112127,3750.0,1230.0,125.0,3750.0,1230.0,125.0,7500.0,1230.0,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3930.0,940.0,4870.0,3990.0,940.0,4930.0,3690.0,1240.0,4930.0,3750.0,1240.0,4990.0,,,3930.0,940.0,4870.0,3990.0,940.0,4930.0,3690.0,1240.0,4930.0,3750.0,1240.0,4990.0,,,7860.0,940.0,8800.0,7920.0,940.0,8860.0,7380.0,1240.0,8620.0,7500.0,1240.0,8740.0,,,1200.0,1000.0,1000.0,1250.0,,,,,,,,,5400.0,10238.0,10238.0,14364.0,2450.0,4360.0,4360.0,6524.0,2450.0,4360.0,4360.0,6524.0
112127,7230.0,2310.0,241.0,7230.0,2310.0,241.0,14460.0,2310.0,482.0,8352.0,1848.0,348.0,8352.0,1848.0,348.0,14472.0,1848.0,603.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112127,8232.0,868.0,343.0,8232.0,868.0,343.0,18480.0,868.0,770.0,7812.0,766.0,434.0,7812.0,766.0,434.0,17550.0,766.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7752.0,868.0,8620.0,7992.0,868.0,8860.0,7992.0,868.0,8860.0,8232.0,868.0,9100.0,,,7752.0,868.0,8620.0,7992.0,868.0,8860.0,7992.0,868.0,8860.0,8232.0,868.0,9100.0,,,17424.0,868.0,18292.0,17952.0,868.0,18820.0,17952.0,868.0,18820.0,18480.0,868.0,19348.0,,,1200.0,1200.0,1200.0,1200.0,6980.0,6980.0,7368.0,7368.0,3850.0,3830.0,3830.0,4030.0,10296.0,10296.0,10296.0,10485.0,3850.0,3830.0,3830.0,4030.0,3850.0,3830.0,3830.0,4030.0
112127,10392.0,1784.0,433.0,10392.0,1784.0,433.0,31176.0,1784.0,1299.0,10386.0,1784.0,577.0,10386.0,1784.0,577.0,31158.0,1784.0,1731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9816.0,1676.0,11492.0,10080.0,1716.0,11796.0,10080.0,1746.0,11826.0,10392.0,1784.0,12176.0,,,9816.0,1676.0,11492.0,10080.0,1716.0,11796.0,10080.0,1746.0,11826.0,10392.0,1784.0,12176.0,,,29448.0,1676.0,31124.0,30240.0,1716.0,31956.0,30240.0,1746.0,31986.0,31176.0,1784.0,32960.0,,,1200.0,1200.0,1200.0,1200.0,13600.0,13778.0,14596.0,14998.0,5904.0,5904.0,6028.0,6028.0,13600.0,13778.0,14596.0,14998.0,5904.0,5904.0,6028.0,6028.0,5904.0,5904.0,6028.0,6028.0
