UNITID,CDACTUA,EFTEUG,FTEUG
112172,129441.0,4315.0,4315.0
112172,363142.0,12105.0,12105.0
112172,6520.0,217.0,217.0
112172,205418.0,6847.0,6847.0
112172,101826.0,3394.0,3394.0
112172,401939.0,13099.0,13082.0
112172,29507.0,984.0,984.0
112172,59927.0,1998.0,1998.0
112172,100645.0,3355.0,3770.0
112172,401939.0,13099.0,13082.0
112172,32839.0,1095.0,1095.0
112172,27314.0,910.0,910.0
112172,13474.0,299.0,299.0
112172,42987.0,1433.0,1433.0
112172,150843.0,5028.0,5028.0
112172,52669.0,1756.0,1756.0
112172,95834.0,3194.0,3194.0
112172,80189.0,2673.0,2673.0
112172,116379.0,3879.0,3879.0
112172,33983.0,1133.0,1268.0
112172,17474.0,582.0,582.0
112172,23698.0,790.0,790.0
112172,1656.0,57.0,57.0
112172,16941.0,565.0,565.0
112172,13843.0,461.0,461.0
112172,207526.0,6918.0,6918.0
112172,152469.0,5082.0,5082.0
112172,165630.0,5521.0,5521.0
112172,65652.0,2188.0,2188.0
112172,64597.0,2153.0,2153.0
112172,38258.0,1275.0,1275.0
112172,9734.0,324.0,324.0
112172,44331.0,1478.0,1478.0
112172,33339.0,1111.0,1196.0
112172,60230.0,2008.0,2008.0
112172,57645.0,1922.0,1922.0
112172,154319.0,5144.0,5144.0
112172,49085.0,1636.0,1636.0
112172,41281.0,1376.0,1376.0
112172,9302.0,310.0,310.0
112172,51587.0,1720.0,1720.0
112172,113210.0,3774.0,3774.0
112172,1537.0,57.0,57.0
112172,91923.0,3064.0,3064.0
112172,59734.0,1991.0,1991.0
112172,259049.0,8635.0,8635.0
112172,31684.0,1056.0,1056.0
112172,24803.0,827.0,827.0
112172,42626.0,1421.0,1421.0
112172,40847.0,1362.0,1362.0
112172,273588.0,9120.0,9120.0
112172,71480.0,2383.0,2383.0
112172,1677.0,57.0,57.0
112172,68275.0,2276.0,2276.0
112172,182159.0,6072.0,6072.0
112172,1537.0,57.0,57.0
112172,110443.0,3681.0,3681.0
112172,27788.0,926.0,926.0
112172,10142.0,338.0,338.0
112172,201690.0,6723.0,6723.0
112172,14102.0,470.0,470.0
112172,40754.0,1358.0,1358.0
112172,18682.0,623.0,623.0
112172,16595.0,553.0,553.0
112172,21481.0,716.0,716.0
112172,30958.0,1032.0,1032.0
112172,401939.0,13099.0,13082.0
112172,145365.0,5002.0,5065.0
112172,401939.0,13099.0,13082.0
112172,97016.0,3234.0,3234.0
112172,176860.0,5895.0,5895.0
112172,82572.0,2752.0,2752.0
112172,89683.0,2989.0,2989.0
112172,220736.0,7358.0,7358.0
112172,401939.0,13099.0,13082.0
112172,77949.0,2598.0,2598.0
112172,254552.0,8485.0,8485.0
112172,64772.0,2159.0,2159.0
112172,31444.0,1048.0,1048.0
112172,26538.0,885.0,885.0
112172,401939.0,13099.0,13082.0
112172,40893.0,1363.0,1363.0
112172,8048.0,268.0,268.0
112172,141995.0,4733.0,4733.0
112172,335895.0,11251.0,11251.0
112172,87510.0,2930.0,2930.0
112172,28990.0,966.0,966.0
112172,11341.0,378.0,378.0
112172,29040.0,968.0,968.0
112172,247015.0,8234.0,8234.0
112172,109178.0,3639.0,3639.0
112172,53605.0,1787.0,1787.0
112172,28370.0,946.0,946.0
112172,79543.0,2651.0,2651.0
112172,103232.0,3441.0,3441.0
112172,140024.0,4667.0,4667.0
112172,28454.0,948.0,948.0
112172,9652.0,322.0,322.0
112172,16817.0,561.0,561.0
112172,401939.0,13099.0,13082.0
112172,64599.0,2153.0,2153.0
112172,59412.0,1980.0,1980.0
112172,228824.0,7627.0,7627.0
112172,197093.0,6570.0,6570.0
112172,58287.0,1943.0,1943.0
112172,24240.0,808.0,808.0
112172,32443.0,1081.0,1081.0
112172,225718.0,7524.0,7524.0
112172,16635.0,555.0,555.0
112172,25696.0,857.0,857.0
112172,5434.0,181.0,181.0
112172,20641.0,688.0,688.0
112172,4170.0,139.0,139.0
112172,47593.0,1586.0,1586.0
112172,22433.0,748.0,748.0
112172,100800.0,3360.0,3360.0
112172,63897.0,2130.0,2130.0
112172,33301.0,1110.0,1110.0
112172,2400.0,80.0,80.0
112172,42553.0,1418.0,1418.0
112172,19142.0,638.0,638.0
112172,23290.0,776.0,776.0
112172,36607.0,1220.0,1220.0
112172,6987.0,233.0,233.0
