UNITID,EFCSTATE,LINE,EFRES01,EFRES02 
110714,5,5,576,415.0
110714,5,5,3,3.0
110714,5,5,2,2.0
110714,5,5,4,4.0
110714,6,6,22,22.0
110714,10,10,1,1.0
110714,11,11,9,9.0
110714,12,12,52,52.0
110714,13,13,133,133.0
110714,17,17,74,74.0
110714,18,18,15,15.0
110714,20,20,1,1.0
110714,21,21,8,8.0
110714,22,22,11,11.0
110714,24,24,14,14.0
110714,25,25,4,4.0
110714,26,26,28,28.0
110714,27,27,2,2.0
110714,28,28,20,20.0
110714,29,29,40,40.0
110714,32,32,1,1.0
110714,34,34,1,1.0
110714,36,36,2,2.0
110714,37,37,1,1.0
110714,39,39,29,29.0
110714,40,40,1,1.0
110714,42,42,2,2.0
110714,45,45,4,4.0
110714,47,47,87,87.0
110714,48,48,16,16.0
110714,51,51,4,4.0
110714,53,53,4,4.0
110714,55,55,2,2.0
110714,58,999,576,415.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,5,5,2,2.0
110714,6,6,5,5.0
110714,8,8,4,3.0
110714,12,12,29,28.0
110714,13,13,121,120.0
110714,17,17,15,14.0
110714,18,18,6,5.0
110714,19,19,2,2.0
110714,21,21,8,8.0
110714,22,22,17,17.0
110714,24,24,3,3.0
110714,25,25,1,1.0
110714,26,26,3,3.0
110714,27,27,4,4.0
110714,28,28,28,28.0
110714,29,29,4,4.0
110714,31,31,1,1.0
110714,33,33,1,1.0
110714,34,34,2,2.0
110714,35,35,1,1.0
110714,36,36,2,2.0
110714,37,37,10,10.0
110714,38,38,1,1.0
110714,39,39,6,6.0
110714,40,40,2,2.0
110714,42,42,1,1.0
110714,45,45,4,4.0
110714,47,47,55,55.0
110714,48,48,16,16.0
110714,49,49,2,2.0
110714,50,50,1,1.0
110714,51,51,3,3.0
110714,53,53,2,2.0
110714,55,55,2,2.0
110714,58,999,576,415.0
110714,90,90,31,29.0
110714,99,99,576,415.0
110714,5,5,576,415.0
110714,5,5,1,1.0
110714,6,6,5,5.0
110714,8,8,1,1.0
110714,10,10,2,2.0
110714,12,12,6,5.0
110714,13,13,27,23.0
110714,16,16,1,1.0
110714,17,17,19,18.0
110714,18,18,8,7.0
110714,20,20,2,1.0
110714,21,21,17,12.0
110714,22,22,10,9.0
110714,23,23,1,1.0
110714,24,24,2,2.0
110714,25,25,1,1.0
110714,26,26,1,1.0
110714,27,27,4,3.0
110714,28,28,6,5.0
