UNITID,RRFTCT,RRFTCTA,RET_NMF,RET_PCF,RRPTCT,RRPTCTA,RET_NMP,STUFACR 
140872,971.0,970.0,672.0,59.0,60.0,60.0,15.0,19.0
140872,971.0,970.0,672.0,82.0,54.0,54.0,29.0,18.0
140872,971.0,970.0,672.0,80.0,13.0,13.0,4.0,17.0
140872,797.0,797.0,475.0,60.0,93.0,93.0,19.0,14.0
140872,971.0,970.0,672.0,87.0,53.0,53.0,32.0,19.0
140872,219.0,219.0,136.0,62.0,74.0,74.0,26.0,16.0
140872,517.0,516.0,362.0,70.0,22.0,22.0,5.0,15.0
140872,971.0,970.0,672.0,87.0,57.0,56.0,41.0,20.0
140872,172.0,172.0,105.0,61.0,99.0,99.0,21.0,15.0
140872,12.0,12.0,8.0,55.0,4.0,4.0,0.0,13.0
140872,340.0,340.0,213.0,63.0,76.0,76.0,35.0,17.0
140872,971.0,970.0,645.0,62.0,161.0,161.0,76.0,15.0
140872,209.0,209.0,132.0,63.0,6.0,6.0,2.0,13.0
140872,625.0,625.0,407.0,65.0,161.0,161.0,76.0,17.0
140872,514.0,514.0,333.0,65.0,161.0,161.0,76.0,14.0
140872,961.0,961.0,636.0,66.0,161.0,161.0,76.0,19.0
140872,219.0,219.0,125.0,57.0,50.0,50.0,24.0,15.0
140872,12.0,12.0,8.0,55.0,2.0,2.0,1.0,14.0
140872,250.0,250.0,162.0,65.0,1.0,1.0,0.0,14.0
140872,12.0,12.0,8.0,87.0,1.0,1.0,0.0,10.0
140872,57.0,57.0,27.0,55.0,52.0,52.0,12.0,12.0
140872,178.0,178.0,116.0,65.0,67.0,67.0,35.0,11.0
140872,971.0,970.0,672.0,66.0,36.0,36.0,10.0,19.0
140872,854.0,854.0,518.0,61.0,161.0,161.0,76.0,18.0
140872,886.0,886.0,570.0,64.0,161.0,161.0,76.0,20.0
140872,426.0,426.0,257.0,60.0,161.0,161.0,76.0,16.0
140872,301.0,301.0,208.0,69.0,3.0,4.0,1.0,18.0
140872,383.0,383.0,244.0,64.0,47.0,47.0,20.0,16.0
140872,380.0,380.0,218.0,57.0,4.0,4.0,2.0,14.0
140872,250.0,250.0,170.0,68.0,3.0,3.0,3.0,14.0
140872,478.0,478.0,350.0,73.0,15.0,15.0,4.0,12.0
140872,408.0,408.0,261.0,64.0,161.0,161.0,76.0,16.0
140872,971.0,970.0,672.0,76.0,28.0,28.0,8.0,18.0
140872,352.0,352.0,256.0,73.0,98.0,98.0,57.0,17.0
140872,279.0,279.0,215.0,77.0,4.0,4.0,2.0,11.0
140872,73.0,73.0,53.0,73.0,5.0,5.0,2.0,14.0
140872,342.0,342.0,209.0,61.0,132.0,132.0,44.0,18.0
140872,918.0,918.0,672.0,87.0,2.0,2.0,1.0,14.0
140872,663.0,663.0,413.0,62.0,161.0,161.0,76.0,17.0
140872,488.0,488.0,310.0,64.0,70.0,70.0,21.0,20.0
140872,971.0,970.0,672.0,69.0,24.0,24.0,7.0,16.0
140872,215.0,215.0,174.0,81.0,1.0,1.0,0.0,12.0
140872,109.0,109.0,69.0,63.0,4.0,4.0,4.0,15.0
140872,216.0,216.0,164.0,76.0,9.0,9.0,9.0,20.0
140872,259.0,259.0,149.0,58.0,130.0,130.0,46.0,17.0
140872,971.0,970.0,672.0,75.0,161.0,161.0,58.0,16.0
140872,545.0,545.0,412.0,76.0,6.0,6.0,4.0,10.0
140872,450.0,450.0,297.0,66.0,161.0,161.0,76.0,13.0
140872,489.0,489.0,324.0,66.0,152.0,152.0,71.0,11.0
140872,12.0,12.0,8.0,55.0,1.0,1.0,0.0,10.0
140872,396.0,396.0,276.0,70.0,46.0,46.0,20.0,11.0
140872,69.0,69.0,45.0,65.0,12.0,12.0,3.0,10.0
140872,17.0,17.0,14.0,82.0,4.0,4.0,2.0,10.0
140872,65.0,65.0,55.0,85.0,152.0,152.0,76.0,12.0
140872,52.0,52.0,44.0,85.0,9.0,9.0,4.0,20.0
140872,971.0,970.0,672.0,85.0,153.0,148.0,74.0,19.0
140872,515.0,515.0,327.0,63.0,161.0,161.0,76.0,20.0
140872,971.0,970.0,672.0,86.0,161.0,161.0,76.0,17.0
140872,395.0,395.0,225.0,57.0,161.0,161.0,76.0,15.0
140872,528.0,528.0,368.0,70.0,161.0,161.0,76.0,15.0
140872,12.0,12.0,9.0,82.0,4.0,4.0,2.0,16.0
140872,154.0,154.0,149.0,87.0,110.0,110.0,76.0,20.0
140872,488.0,488.0,248.0,55.0,161.0,161.0,76.0,19.0
140872,744.0,744.0,582.0,78.0,5.0,5.0,3.0,18.0
140872,857.0,857.0,572.0,67.0,161.0,161.0,76.0,15.0
140872,971.0,970.0,672.0,70.0,161.0,161.0,76.0,20.0
140872,187.0,187.0,102.0,55.0,161.0,161.0,76.0,12.0
140872,823.0,823.0,523.0,64.0,161.0,161.0,76.0,15.0
140872,110.0,110.0,55.0,55.0,161.0,161.0,76.0,13.0
140872,12.0,12.0,8.0,87.0,3.0,3.0,2.0,15.0
140872,971.0,970.0,672.0,76.0,161.0,161.0,76.0,20.0
140872,25.0,25.0,10.0,55.0,61.0,61.0,17.0,11.0
140872,405.0,405.0,271.0,67.0,161.0,161.0,76.0,12.0
140872,855.0,854.0,584.0,68.0,161.0,161.0,76.0,19.0
140872,36.0,36.0,19.0,55.0,1.0,1.0,1.0,10.0
140872,93.0,93.0,56.0,60.0,161.0,161.0,72.0,20.0
140872,309.0,309.0,194.0,63.0,161.0,161.0,76.0,14.0
140872,229.0,229.0,125.0,55.0,161.0,161.0,59.0,14.0
140872,300.0,300.0,181.0,60.0,11.0,11.0,6.0,15.0
140872,500.0,500.0,320.0,64.0,161.0,161.0,76.0,18.0
140872,416.0,416.0,310.0,75.0,29.0,29.0,13.0,11.0
140872,128.0,128.0,25.0,55.0,20.0,20.0,4.0,20.0
140872,15.0,15.0,8.0,55.0,10.0,10.0,4.0,10.0
140872,138.0,138.0,70.0,55.0,1.0,1.0,0.0,10.0
140872,971.0,970.0,672.0,86.0,51.0,51.0,31.0,20.0
140872,590.0,589.0,347.0,59.0,87.0,87.0,18.0,13.0
140872,533.0,532.0,329.0,62.0,50.0,50.0,20.0,15.0
140872,971.0,970.0,672.0,78.0,69.0,69.0,23.0,15.0
140872,971.0,970.0,672.0,63.0,6.0,6.0,1.0,18.0
140872,249.0,249.0,169.0,68.0,1.0,1.0,1.0,12.0
140872,244.0,244.0,152.0,62.0,43.0,43.0,20.0,16.0
140872,971.0,970.0,672.0,74.0,10.0,10.0,2.0,14.0
140872,115.0,115.0,72.0,63.0,2.0,2.0,0.0,10.0
140872,173.0,173.0,136.0,79.0,57.0,57.0,22.0,17.0
140872,122.0,122.0,67.0,55.0,19.0,19.0,12.0,11.0
140872,48.0,48.0,42.0,87.0,1.0,1.0,1.0,15.0
140872,502.0,502.0,271.0,55.0,79.0,79.0,28.0,14.0
140872,179.0,179.0,80.0,55.0,23.0,23.0,6.0,13.0
