UNITID,EFDELEV,EFDETOT,EFDEEXC,EFDESOM,EFDENON
137759,1,6007,429.0,1654.0,2309.0
137759,2,5206,249.0,1654.0,1970.0
137759,3,5196,246.0,1654.0,1965.0
137759,11,114,3.0,2.0,16.0
137759,11,801,180.0,282.0,339.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1314.0,1654.0,2714.0
137759,3,6030,1314.0,1654.0,2714.0
137759,11,256,120.0,32.0,104.0
137759,11,6030,1314.0,1530.0,2714.0
137759,1,6030,1177.0,1654.0,2714.0
137759,2,6030,481.0,1654.0,2541.0
137759,3,6030,463.0,1654.0,2413.0
137759,11,184,18.0,38.0,128.0
137759,11,2068,696.0,360.0,1012.0
137759,1,3828,420.0,1654.0,995.0
137759,2,3296,133.0,1654.0,808.0
137759,3,3296,133.0,1654.0,808.0
137759,11,532,287.0,58.0,187.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1314.0,1654.0,2714.0
137759,3,6030,1314.0,1654.0,2714.0
137759,11,1098,968.0,19.0,111.0
137759,11,6030,1314.0,665.0,2714.0
137759,1,1777,392.0,596.0,789.0
137759,2,1777,392.0,596.0,789.0
137759,3,963,164.0,426.0,373.0
137759,11,814,228.0,170.0,416.0
137759,1,2894,1314.0,843.0,219.0
137759,2,2520,1314.0,841.0,219.0
137759,3,2465,1314.0,840.0,214.0
137759,11,114,49.0,2.0,16.0
137759,11,374,372.0,2.0,16.0
137759,1,5109,993.0,1654.0,2018.0
137759,2,3754,582.0,1576.0,1596.0
137759,3,3307,445.0,1546.0,1316.0
137759,11,447,137.0,30.0,280.0
137759,11,1355,411.0,522.0,422.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1094.0,1654.0,2714.0
137759,3,6030,1091.0,1654.0,2714.0
137759,11,145,3.0,14.0,128.0
137759,11,6030,1314.0,751.0,2714.0
137759,1,975,0.0,2.0,975.0
137759,2,975,0.0,2.0,975.0
137759,3,968,0.0,2.0,968.0
137759,11,114,0.0,2.0,16.0
137759,1,1641,250.0,465.0,926.0
137759,2,1641,250.0,465.0,926.0
137759,3,1101,220.0,445.0,436.0
137759,11,540,30.0,20.0,490.0
137759,1,361,198.0,55.0,108.0
137759,2,315,157.0,54.0,104.0
137759,3,315,157.0,54.0,104.0
137759,11,114,41.0,2.0,16.0
137759,1,2010,568.0,605.0,837.0
137759,2,2010,568.0,605.0,837.0
137759,3,1359,330.0,476.0,553.0
137759,11,651,238.0,129.0,284.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1314.0,1654.0,2714.0
137759,3,4809,1289.0,1654.0,1571.0
137759,11,1991,500.0,67.0,1424.0
137759,1,2817,1137.0,354.0,1326.0
137759,2,1792,670.0,317.0,805.0
137759,3,1587,666.0,317.0,604.0
137759,11,205,4.0,2.0,201.0
137759,11,1025,467.0,37.0,521.0
137759,1,4352,1155.0,1654.0,1501.0
137759,2,4352,1155.0,1654.0,1501.0
137759,3,3446,785.0,1584.0,1077.0
137759,11,906,370.0,112.0,424.0
137759,1,3832,637.0,1006.0,2189.0
137759,2,3832,637.0,1006.0,2189.0
137759,3,3069,504.0,980.0,1585.0
137759,11,763,133.0,26.0,604.0
137759,1,5965,1172.0,1654.0,2714.0
137759,2,5965,1172.0,1654.0,2714.0
137759,3,4207,965.0,1633.0,1609.0
137759,11,1758,207.0,156.0,1395.0
137759,1,1860,874.0,310.0,676.0
137759,2,1860,874.0,310.0,676.0
137759,3,856,329.0,228.0,299.0
137759,11,1004,545.0,82.0,377.0
137759,1,578,197.0,108.0,273.0
137759,2,570,189.0,108.0,273.0
137759,3,570,189.0,108.0,273.0
137759,11,114,8.0,2.0,16.0
137759,1,817,0.0,280.0,537.0
137759,2,812,0.0,280.0,532.0
137759,3,810,0.0,280.0,530.0
137759,11,114,0.0,2.0,16.0
137759,1,143,110.0,17.0,16.0
137759,2,114,56.0,11.0,16.0
137759,3,114,47.0,11.0,16.0
137759,11,114,9.0,2.0,16.0
137759,11,114,54.0,6.0,16.0
137759,1,976,100.0,379.0,497.0
137759,2,976,100.0,379.0,497.0
137759,3,698,87.0,370.0,241.0
137759,11,278,13.0,9.0,256.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1217.0,1654.0,2714.0
137759,3,6030,673.0,1654.0,2323.0
137759,11,1244,544.0,119.0,581.0
137759,11,1322,870.0,295.0,157.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1314.0,1654.0,2714.0
137759,3,5550,1314.0,1654.0,1493.0
137759,11,2881,688.0,251.0,1942.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1314.0,1654.0,2714.0
137759,3,6030,1314.0,1654.0,1915.0
137759,11,1614,510.0,104.0,1000.0
137759,1,2919,604.0,995.0,1320.0
137759,2,2919,604.0,995.0,1320.0
137759,3,2554,377.0,978.0,1199.0
137759,11,365,227.0,17.0,121.0
137759,1,5860,1314.0,477.0,1021.0
137759,2,2427,1172.0,385.0,870.0
137759,3,2424,1169.0,385.0,870.0
137759,11,114,3.0,2.0,16.0
137759,11,3433,1314.0,92.0,151.0
137759,1,1929,496.0,143.0,1290.0
137759,2,1929,496.0,143.0,1290.0
137759,3,1111,225.0,59.0,827.0
137759,11,818,271.0,84.0,463.0
137759,1,320,0.0,126.0,194.0
137759,2,320,0.0,126.0,194.0
137759,3,320,0.0,126.0,194.0
137759,1,1258,109.0,95.0,1054.0
137759,2,1258,109.0,95.0,1054.0
137759,3,1257,109.0,95.0,1053.0
137759,11,114,0.0,2.0,16.0
137759,1,1804,84.0,313.0,1407.0
137759,2,1584,73.0,313.0,1198.0
137759,3,1108,73.0,285.0,750.0
137759,11,476,0.0,28.0,448.0
137759,11,220,11.0,2.0,209.0
137759,1,2586,193.0,1078.0,1315.0
137759,2,2172,52.0,964.0,1156.0
137759,3,2128,43.0,962.0,1123.0
137759,11,114,9.0,2.0,33.0
137759,11,414,141.0,114.0,159.0
137759,1,4032,614.0,912.0,2506.0
137759,2,4032,614.0,912.0,2506.0
137759,3,2026,361.0,825.0,840.0
137759,11,2006,253.0,87.0,1666.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,1139.0,1654.0,2714.0
137759,3,5408,870.0,1654.0,1443.0
137759,11,1806,269.0,80.0,1457.0
137759,11,2616,1314.0,233.0,176.0
137759,1,2590,807.0,1086.0,697.0
137759,2,2590,807.0,1086.0,697.0
137759,3,1565,403.0,771.0,391.0
137759,11,1025,404.0,315.0,306.0
137759,1,1470,109.0,569.0,792.0
137759,2,1431,70.0,569.0,792.0
137759,3,1378,69.0,556.0,753.0
137759,11,114,1.0,13.0,39.0
137759,11,114,39.0,2.0,16.0
137759,1,434,17.0,175.0,242.0
137759,2,434,17.0,175.0,242.0
137759,3,281,10.0,163.0,108.0
137759,11,153,7.0,12.0,134.0
137759,1,2968,368.0,702.0,1898.0
137759,2,2968,368.0,702.0,1898.0
137759,3,1943,291.0,686.0,966.0
137759,11,1025,77.0,16.0,932.0
137759,1,5682,218.0,800.0,2714.0
137759,2,3672,11.0,577.0,2714.0
137759,3,3668,11.0,577.0,2714.0
137759,11,114,0.0,2.0,16.0
137759,11,2010,207.0,223.0,1580.0
137759,1,114,35.0,11.0,16.0
137759,2,114,16.0,11.0,16.0
137759,3,114,15.0,11.0,16.0
137759,11,114,1.0,2.0,16.0
137759,11,114,19.0,2.0,16.0
137759,1,4166,1314.0,1446.0,1405.0
137759,2,4166,1314.0,1446.0,1405.0
137759,3,3257,828.0,1296.0,1133.0
137759,11,909,487.0,150.0,272.0
137759,1,2507,1314.0,808.0,375.0
137759,2,2507,1314.0,808.0,375.0
137759,3,1494,605.0,678.0,211.0
137759,11,1013,719.0,130.0,164.0
137759,1,6030,1314.0,1654.0,2714.0
137759,2,6030,615.0,1654.0,2714.0
137759,3,6030,388.0,1654.0,2714.0
137759,11,309,227.0,6.0,76.0
137759,11,4958,1314.0,225.0,1395.0
137759,1,1046,128.0,411.0,507.0
137759,2,933,31.0,411.0,491.0
137759,3,932,31.0,411.0,490.0
137759,11,114,0.0,2.0,16.0
137759,11,114,97.0,2.0,16.0
137759,1,744,223.0,480.0,41.0
137759,2,744,223.0,480.0,41.0
137759,3,727,220.0,480.0,27.0
137759,11,114,3.0,2.0,16.0
137759,1,903,266.0,521.0,116.0
137759,2,835,208.0,511.0,116.0
137759,3,832,208.0,511.0,113.0
137759,11,114,0.0,2.0,16.0
137759,11,114,58.0,10.0,16.0
137759,1,1984,648.0,622.0,714.0
