UNITID,UGPO9_N,UGPO9_T,UGPO9_A,GPO9_N,GPO9_T,GPO9_A,PO9_N,PO9_T,PO9_A,UGDOD_N,UGDOD_T,UGDOD_A,GDOD_N,GDOD_T,GDOD_A,DOD_N,DOD_T,DOD_A   
100654,221.0,1173387.0,5309.0,13.0,100324.0,7717.0,234,1273711,5443.0,7.0,29702.0,4243.0,2.0,6000.0,3000.0,9,35702,3967.0
100663,264.0,2243724.0,8499.0,159.0,1682377.0,10581.0,423,3926101,9282.0,25.0,70250.0,2810.0,12.0,23474.0,1956.0,37,93724,2533.0
100690,5.0,28990.0,5798.0,18.0,123990.0,6888.0,23,152980,6651.0,6.0,16000.0,2667.0,23.0,62750.0,2728.0,29,78750,2716.0
100706,285.0,2264421.0,7945.0,58.0,435150.0,7503.0,343,2699571,7870.0,13.0,41750.0,3212.0,8.0,17250.0,2156.0,21,59000,2810.0
100751,823.0,8772213.0,10659.0,131.0,849317.0,6483.0,954,9621530,10085.0,38.0,111430.0,2932.0,12.0,23250.0,1938.0,50,134680,2694.0
100812,54.0,219753.0,4070.0,5.0,15943.0,3189.0,59,235696,3995.0,8.0,12597.0,1575.0,7.0,16100.0,2300.0,15,28697,1913.0
100830,139.0,934989.0,6727.0,33.0,158022.0,4789.0,172,1093011,6355.0,27.0,90500.0,3352.0,12.0,41809.0,3484.0,39,132309,3393.0
100858,688.0,7541962.0,10962.0,147.0,1999152.0,13600.0,835,9541114,11426.0,20.0,69672.0,3484.0,25.0,56200.0,2248.0,45,125872,2797.0
101189,144.0,671985.0,4667.0,100.0,614439.0,6144.0,244,1286424,5272.0,11.0,7480.0,680.0,5.0,6013.0,1203.0,16,13493,843.0
101480,99.0,695107.0,7021.0,31.0,110288.0,3558.0,130,805395,6195.0,6.0,15500.0,2583.0,1.0,2250.0,2250.0,7,17750,2536.0
101587,34.0,145069.0,4267.0,53.0,299579.0,5652.0,87,444648,5111.0,8.0,29700.0,3713.0,4.0,6000.0,1500.0,12,35700,2975.0
101879,249.0,1734107.0,6964.0,45.0,243393.0,5409.0,294,1977500,6726.0,13.0,36750.0,2827.0,10.0,23400.0,2340.0,23,60150,2615.0
